Frame,NIA_ID,Angle_deg,P2,Orientation
0,1,62.70527417944076,-0.1845734228605973,upright
0,2,75.11811563690667,-0.40105965787192954,upright
0,3,55.501923452799446,-0.01882297281381995,upright
0,4,118.16803047256971,-0.1657405253403717,upright
0,5,97.04934330520932,-0.47740819955761993,upright
0,6,46.448048962019705,0.21210630767255978,upright
0,7,68.58791768710117,-0.30008243250069255,upright
0,8,94.15760970849266,-0.492115556731558,upright
0,9,70.23930816365194,-0.3285403515543901,upright
0,10,125.83275256418302,0.014077000174233634,upright
0,11,64.82475560783429,-0.22856718361813377,upright
0,12,62.45652053934012,-0.17924939989699107,upright
0,13,23.548286128369416,0.7605735193126866,flat
0,14,67.62438554117219,-0.28262770646595664,upright
0,15,61.661650488567325,-0.16202200827319618,upright
0,16,78.76456404036121,-0.44305547155019737,upright
0,17,59.68733056751332,-0.1178888106922007,upright
0,18,99.38886091809125,-0.46008087069163695,upright
0,19,100.00798301451097,-0.4546979577851213,upright
0,20,51.05926221541109,0.09254898902546971,upright
0,21,90.9195801097662,-0.49961364383941614,upright
0,22,38.20460305062658,0.4262394538794074,flat
0,23,99.57704102127644,-0.4584797203199337,upright
0,24,59.61421437368336,-0.11621954104429044,upright
0,25,63.58456237870736,-0.20312734799482496,upright
0,26,85.51082746881042,-0.49081054583743294,upright
0,27,60.19208454204231,-0.12934657317196407,upright
0,28,51.28291072618211,0.08682921943075428,upright
0,29,59.92635366598359,-0.12332901678313701,upright
0,30,62.13930275995739,-0.1724131558642107,upright
0,31,78.40450050430526,-0.43939791132372635,upright
0,32,73.51389639806173,-0.37920099536156393,upright
0,33,61.3549583689819,-0.15528947063205423,upright
0,34,87.80792610926156,-0.4978054551351931,upright
0,35,48.01830261677877,0.17112713209062846,upright
0,36,92.0605981335544,-0.49806069843508965,upright
0,37,98.91732890801092,-0.4639582292097643,upright
0,38,87.70291992218381,-0.4975902856361661,upright
0,39,104.55372656318589,-0.4052817142708445,upright
0,40,80.75823271595553,-0.46131110134184156,upright
0,41,108.07095097220746,-0.35566907954208715,upright
0,42,56.52511536063993,-0.04365348273892644,upright
0,43,149.50431525094447,0.6137060194763535,flat
0,44,55.59128986360863,-0.02100581645178956,upright
0,45,71.95488018384033,-0.35606768157405433,upright
0,46,91.95586427849881,-0.4982527513033207,upright
0,47,66.51009179940806,-0.2616919639216369,upright
0,48,98.01342384698009,-0.4708493240591899,upright
0,49,80.74356390571526,-0.4611892587145198,upright
0,50,75.33453727970043,-0.4038537506478501,upright
1,1,68.74803567285876,-0.3029232584298373,upright
1,2,90.67067048831284,-0.4997944845143098,upright
1,3,137.92596821938923,0.32646855771856265,flat
1,4,50.8652525105301,0.09751853680039857,upright
1,5,109.67076290116088,-0.3300357171148539,upright
1,6,67.70985851390712,-0.28420072526568135,upright
1,7,144.94120942469885,0.5050682558164186,flat
1,8,93.38499715104678,-0.4947705349146563,upright
1,9,85.0118039966878,-0.4886594141928925,upright
1,10,74.82809299419363,-0.39725711491556465,upright
1,11,101.65193528772411,-0.43881474384019203,upright
1,12,98.4692741385968,-0.46746333854356226,upright
1,13,126.15095033273974,0.02199890631837098,upright
1,14,50.844614468345235,0.09804759462233714,upright
1,15,62.45615441967667,-0.1792415399625193,upright
1,16,142.90788984614508,0.45440892913399533,flat
1,17,61.64049348860684,-0.161559075189944,upright
1,18,37.21231254721105,0.45137937935289507,flat
1,19,97.68724752190387,-0.4731601398580027,upright
1,20,100.74929910457121,-0.4478199008550656,upright
1,21,137.7696052185993,0.32239519797697525,flat
1,22,67.34498727960715,-0.2774527388890739,upright
1,23,83.80112281744545,-0.48251052039564796,upright
1,24,136.18711223818983,0.28106963227284587,flat
1,25,79.85537837520265,-0.45346553902164577,upright
1,26,34.224361005746154,0.5255003315480411,flat
1,27,140.42617670636747,0.39120909311962393,flat
1,28,98.4760556564436,-0.46741159297792245,upright
1,29,66.59335791518876,-0.2632835557502263,upright
1,30,39.3102920191324,0.397978867114688,flat
1,31,78.19618899506631,-0.4372320975165789,upright
1,32,103.75226075098645,-0.4152307936099156,upright
1,33,76.5906043191707,-0.4193284217239208,upright
1,34,139.28387366507872,0.3617340502786127,flat
1,35,87.51400108022435,-0.49717788104995764,upright
1,36,118.27493552557416,-0.16340821279528311,upright
1,37,60.268852958748624,-0.13107896346862463,upright
1,38,65.98860109131832,-0.25162614373953174,upright
1,39,136.85855506383785,0.29862273323468,flat
1,40,104.76433484912047,-0.402581890834142,upright
1,41,10.646744162973663,0.9487993788445017,flat
1,42,111.8727200629579,-0.2918142452836548,upright
1,43,52.75697269131736,0.04939531831346122,upright
1,44,109.08038331405723,-0.33971012374285325,upright
1,45,87.47864520978641,-0.49709709008717723,upright
1,46,105.16119878033051,-0.397398694366742,upright
1,47,25.864006337039346,0.7145464525419845,flat
1,48,121.27082061698316,-0.09582787444430219,upright
1,49,97.22498616702941,-0.47627441747788674,upright
1,50,54.61343912762303,0.003017776929432836,upright
2,1,46.92742157083606,0.19957828084919815,upright
2,2,108.47772471496755,-0.3493274092504809,upright
2,3,123.04115674428752,-0.05406783992561004,upright
2,4,90.5923888331953,-0.4998396591263172,upright
