Frame,NIA_ID,Angle_deg,P2,Orientation
0,1,23.691443360124147,0.7578218494225832,flat
0,2,94.9241193634402,-0.48894818426543507,upright
0,3,120.73803051284986,-0.10814442546818803,upright
0,4,24.171007743355805,0.7485119947429593,flat
0,5,86.87030249903,-0.49552885516435824,upright
0,6,167.3130794646829,0.9276482748211909,flat
0,7,55.65215463026131,-0.022490977005204194,upright
0,8,26.8066792138442,0.694923407993663,flat
0,9,40.91714530949603,0.35652740706817687,flat
0,10,41.7972481023464,0.33367329429379733,flat
1,1,7.636539825884789,0.9735109692994075,flat
1,2,45.01226828927072,0.24967881694777538,upright
1,3,125.54639347523923,0.006972610224101672,upright
1,4,10.1031579218819,0.9538412155404148,flat
1,5,57.46306278757027,-0.06608702080143608,upright
1,6,95.69942258761857,-0.48520636872801737,upright
1,7,7.988065718319791,0.971032329188332,flat
1,8,26.055142496701368,0.7106076580653613,flat
1,9,54.71791302469759,0.00043686433614820164,upright
1,10,21.778725097688767,0.7935128475602733,flat
2,1,53.686560501765875,0.02605517539383151,upright
2,2,24.84286873565788,0.7352347067771701,flat
2,3,125.24616476769793,-0.0004497891815578581,upright
2,4,20.14522069763859,0.82208216684083,flat
2,5,69.01278499256136,-0.30758252851819506,upright
2,6,142.11003706580138,0.4342352690417931,flat
2,7,5.726528502153144,0.98506578986185,flat
2,8,37.674100852496295,0.43970808501964465,flat
2,9,47.11918310919379,0.1945705005854823,upright
2,10,15.943952583359085,0.8868124144188498,flat
3,1,128.42833894436671,0.07945924079791844,upright
3,2,23.462707487696278,0.7622123685546813,flat
3,3,117.08245956829833,-0.18909062051358494,upright
3,4,57.32070320227149,-0.06270332638574272,upright
3,5,50.901831348181894,0.09658103004302321,upright
3,6,85.96957467642076,-0.4925897767340245,upright
3,7,20.724440573024886,0.8121599553518981,flat
3,8,20.167191954068088,0.821710034362038,flat
3,9,22.358702250592177,0.7829393303441599,flat
3,10,87.05452670101725,-0.4960392853401535,upright
4,1,138.12894676797364,0.3317528673720618,flat
4,2,21.654056507204483,0.7957567294722585,flat
4,3,94.08464492310858,-0.4923894026605847,upright
4,4,51.614884024553625,0.07835750301727351,upright
4,5,48.1710136145321,0.16715247602001204,upright
4,6,57.85022775216562,-0.07524968613613775,upright
4,7,26.599111924222182,0.6992863154906197,flat
4,8,6.179968694369511,0.9826166408224113,flat
4,9,12.995687635773598,0.9241450180634292,flat
4,10,120.76530599470082,-0.10751686832474605,upright
5,1,75.85936252178152,-0.4104741837423683,upright
5,2,50.414116104556086,0.10910101828474394,upright
5,3,99.25378768551784,-0.4612112708221623,upright
5,4,28.34119466067914,0.6619597670697628,flat
5,5,33.88140273612684,0.5338313138250117,flat
5,6,98.32823807228397,-0.4685303805943053,upright
5,7,22.71257913202563,0.776380253924384,flat
5,8,13.006784845655249,0.9240176493364376,flat
5,9,71.79169278737506,-0.35354126452355783,upright
5,10,62.32855916657774,-0.17649803738551356,upright
6,1,115.43129503059065,-0.2233867807315683,upright
6,2,11.467199408885161,0.9407137151435947,flat
6,3,109.66258056428673,-0.33017149202643087,upright
6,4,28.278356813928852,0.6633334764264291,flat
6,5,51.18611035708611,0.08930367088166591,upright
6,6,114.80948003493589,-0.23590089548056303,upright
6,7,36.96180430194692,0.45768905707607077,flat
6,8,27.412082088372415,0.6820657289452361,flat
6,9,36.81501418699441,0.46137898554729706,flat
6,10,28.75697005785831,0.6528207959001773,flat
7,1,154.0842856043374,0.7134829237247899,flat
7,2,67.2300472186476,-0.27530924539869306,upright
7,3,123.41540125825674,-0.045085790470970166,upright
7,4,23.02698330725689,0.7704853898353525,flat
7,5,56.6560173323977,-0.046803806352519295,upright
7,6,140.26157239989783,0.3869745245083057,flat
7,7,34.25432836484663,0.5247704854051267,flat
7,8,12.369812322392601,0.9311642286705855,flat
7,9,47.02594221674431,0.19700515500255755,upright
7,10,53.10363269243096,0.04066534470366934,upright
8,1,119.14570531087394,-0.14419939456580366,upright
8,2,30.886761526216244,0.6047184800940519,flat
8,3,93.96029331937149,-0.49284501113044643,upright
8,4,60.3378164995137,-0.132632892499012,upright
8,5,12.039032708918038,0.9347428238232771,flat
8,6,121.74082352695291,-0.08486334124635098,upright
8,7,29.4522355098512,0.6373498820018149,flat
8,8,49.22861188018663,0.1396967617102235,upright
8,9,33.772933200042765,0.5364577945467357,flat
8,10,78.74610073304568,-0.44287057765684845,upright
9,1,149.58750601546797,0.6156091839560065,flat
9,2,30.66732571612252,0.6097696958548624,flat
9,3,93.96690254179987,-0.49282114788547887,upright
9,4,44.74970883470407,0.2565525240228159,flat
9,5,3.8279530776617094,0.9933145147792242,flat
9,6,150.58739974549948,0.6382380571218302,flat
9,7,28.60607524474662,0.6561474568495411,flat
9,8,43.750864648734655,0.2826919256030509,flat
