Frame,10nia.csv_Upright_Rate,50nia.csv_Upright_Rate,100nia.csv_Upright_Rate,200nia.csv_Upright_Rate
174,0.6,0.36,0.55,0.64
175,0.4,0.3,0.52,0.645
176,0.4,0.38,0.58,0.67
177,0.6,0.38,0.53,0.655
178,0.5,0.44,0.58,0.67
179,0.3,0.48,0.55,0.73
180,0.4,0.56,0.62,0.705
181,0.5,0.4,0.58,0.645
182,0.5,0.5,0.61,0.64
183,0.4,0.46,0.59,0.655
184,0.5,0.5,0.66,0.625
185,0.4,0.4,0.63,0.595
186,0.5,0.6,0.59,0.635
187,0.3,0.54,0.61,0.665
188,0.3,0.56,0.67,0.695
189,0.3,0.48,0.63,0.73
190,0.3,0.6,0.66,0.69
191,0.4,0.52,0.69,0.625
192,0.4,0.54,0.69,0.675
193,0.4,0.46,0.67,0.66
194,0.3,0.6,0.63,0.57
195,0.4,0.58,0.64,0.685
196,0.5,0.64,0.57,0.67
197,0.3,0.58,0.51,0.665
198,0.3,0.4,0.64,0.66
199,0.3,0.5,0.63,0.69
200,0.5,0.54,0.64,0.66
201,0.7,0.62,0.58,0.67
202,0.3,0.56,0.59,0.64
203,0.3,0.58,0.66,0.65
204,0.5,0.54,0.62,0.55
205,0.4,0.58,0.63,0.62
206,0.6,0.62,0.65,0.63
207,0.5,0.62,0.65,0.655
208,0.5,0.5,0.62,0.635
209,0.5,0.58,0.57,0.685
210,0.4,0.54,0.59,0.625
211,0.5,0.54,0.62,0.68
212,0.6,0.64,0.61,0.68
213,0.5,0.64,0.55,0.68
214,0.4,0.64,0.61,0.655
215,0.3,0.58,0.65,0.695
216,0.6,0.58,0.62,0.665
217,0.5,0.44,0.67,0.7
218,0.5,0.48,0.65,0.685
219,0.4,0.52,0.58,0.67
220,0.1,0.48,0.53,0.62
221,0.1,0.48,0.56,0.61
222,0.6,0.42,0.54,0.69
223,0.3,0.4,0.62,0.605
224,0.3,0.42,0.55,0.645
225,0.5,0.32,0.58,0.675
226,0.4,0.4,0.67,0.645
227,0.4,0.3,0.54,0.68
228,0.4,0.3,0.68,0.695
229,0.4,0.44,0.65,0.665
230,0.3,0.48,0.67,0.66
231,0.5,0.5,0.65,0.61
232,0.4,0.4,0.65,0.575
233,0.4,0.42,0.66,0.605
234,0.6,0.52,0.61,0.62
235,0.5,0.5,0.62,0.635
236,0.3,0.48,0.62,0.69
237,0.2,0.5,0.56,0.68
238,0.6,0.48,0.58,0.68
239,0.4,0.28,0.66,0.615
240,0.2,0.46,0.6,0.64
241,0.2,0.38,0.56,0.695
