Frame,SDS_ID,Angle_deg,P2,Orientation
0,1,131.29723196416495,0.15333143957509643,upright
0,2,123.85008268629551,-0.03459011682359325,upright
0,3,108.09884356370912,-0.3552381144560535,upright
0,4,150.95148876669705,0.6463618398750932,flat
0,5,132.75152192079506,0.19119539925525975,upright
0,6,114.59877723049917,-0.24008968549510906,upright
0,7,101.98639610367859,-0.4353038748947484,upright
0,8,110.4739161746425,-0.31647995544852225,upright
0,9,141.852462962969,0.42769125459341994,flat
0,10,106.41752936340382,-0.3801762351540129,upright
1,1,124.30203500617533,-0.023607984319327424,upright
1,2,84.80513700863533,-0.48770286865119217,upright
1,3,170.00187416890375,0.9547862455140876,flat
1,4,133.44063921844898,0.2091961863534615,upright
1,5,56.10311152052407,-0.03345600932012682,upright
1,6,176.6238750173484,0.9947978804332043,flat
1,7,49.413535138261935,0.13491045777752786,upright
1,8,119.89775291084385,-0.12731580293753408,upright
1,9,113.59648500718016,-0.2596484938676368,upright
1,10,126.10539449932564,0.020862992349803378,upright
2,1,107.44283000524217,-0.36522128515433994,upright
2,2,47.99152090188975,0.17182442220721217,upright
2,3,117.15097529377351,-0.1876351732281646,upright
2,4,124.78812953209504,-0.011720290405005884,upright
2,5,95.77413542369015,-0.48481729425244313,upright
2,6,132.17921413751188,0.17627126900333867,upright
2,7,68.38919336451539,-0.29653276162039044,upright
2,8,133.34176594818263,0.20661177204367043,upright
2,9,73.43495016092186,-0.37807378449374507,upright
2,10,168.36178001015642,0.9389567139790582,flat
3,1,127.01722089007185,0.043705397460781614,upright
3,2,74.40672347476583,-0.39161436064756683,upright
3,3,140.65868591589796,0.3971825900065299,flat
3,4,56.543575558571405,-0.0440981239129129,upright
3,5,96.95346421373078,-0.47801556888215446,upright
3,6,79.4744533043009,-0.44994536110457295,upright
3,7,88.73112493077866,-0.4992644491147677,upright
3,8,64.99345811247895,-0.2319594971643511,upright
3,9,46.462054346538906,0.2117401204043382,upright
3,10,150.76874035665537,0.6422921631628333,flat
4,1,126.603205119211,0.03330648215941201,upright
4,2,53.09409994966547,0.04090500470897784,upright
4,3,158.03510744520196,0.790142912966086,flat
4,4,80.98256726652639,-0.4631512235508071,upright
4,5,130.52627203334458,0.13335353272329675,upright
4,6,99.93126693369128,-0.45538287699545077,upright
4,7,92.53169577409732,-0.4970732450299809,upright
4,8,29.829299310664965,0.6288635300178744,flat
4,9,22.04039910936908,0.7887696112616929,flat
4,10,143.9228582315045,0.47984118571182144,flat
5,1,131.77870705665666,0.1658443500963116,upright
5,2,56.04537835748922,-0.03205608898336054,upright
5,3,157.28941315743378,0.776417406594764,flat
5,4,53.21271045861542,0.03792470783437851,upright
5,5,50.21927553215478,0.11411432986002357,upright
5,6,116.59984328124665,-0.19927098419059425,upright
5,7,129.02339412733969,0.09466535698290912,upright
5,8,6.891381214916355,0.9784044994833729,flat
5,9,37.462131993724896,0.445071715523767,flat
5,10,143.1012611425618,0.45927503499283107,flat
6,1,125.03002655817127,-0.005776280511604059,upright
6,2,64.09108992003856,-0.2136229609066671,upright
6,3,138.81813485843773,0.34966287167741417,flat
6,4,47.195857933067636,0.19256884896787407,upright
6,5,107.55256237520162,-0.36357371263709237,upright
6,6,93.4382239898456,-0.49460498115475066,upright
6,7,140.69701006276196,0.3981662724041579,flat
6,8,27.314492002350782,0.6841515644116192,flat
6,9,37.04807623528226,0.4555178507362403,flat
6,10,87.85124222769042,-0.4978912878572566,upright
7,1,120.1552204534076,-0.12147527828664145,upright
7,2,48.73780427797474,0.15242191643959835,upright
7,3,119.12286058841403,-0.1447080695810382,upright
7,4,104.38398418632715,-0.40743190326897366,upright
7,5,132.95299967524508,0.19645524737989628,upright
7,6,52.21229734583673,0.06317077251414804,upright
7,7,145.6294324424068,0.5219366766499283,flat
7,8,27.12389342471163,0.6882107602589265,flat
7,9,28.99230362063189,0.6476103076692539,flat
7,10,59.83329805780142,-0.1212141240049569,upright
8,1,87.52992350145998,-0.4972138933855042,upright
8,2,29.39072755105665,0.6387278781846393,flat
8,3,127.43076359562464,0.054135442967388925,upright
8,4,137.71876397322978,0.32107027934537524,flat
8,5,101.59089477410842,-0.43944537523136845,upright
8,6,59.012180364277896,-0.10238519563549203,upright
8,7,156.7462370438233,0.7661944678134001,flat
8,8,71.27831307185316,-0.3454659495170157,upright
8,9,35.414710144235535,0.4962862631318309,flat
8,10,14.108361257951724,0.9108741208485065,flat
9,1,127.18413373329646,0.04791008905608485,upright
9,2,35.732225674328106,0.4884197306362036,flat
9,3,56.948368249428924,-0.05381713345839956,upright
9,4,97.2625147660248,-0.4760286275471459,upright
9,5,61.976994030542265,-0.16889521734323065,upright
9,6,86.76782414172294,-0.49523157209650104,upright
9,7,165.70883000596046,0.9085978590156596,flat
9,8,58.96329724033512,-0.10125498019938328,upright
