Frame,10sds.csv_Upright_Rate,50sds.csv_Upright_Rate,100sds.csv_Upright_Rate,200sds.csv_Upright_Rate
174,0.2,0.42,0.57,0.595
175,0.2,0.32,0.57,0.61
176,0.3,0.4,0.54,0.625
177,0.2,0.42,0.55,0.635
178,0.1,0.44,0.5,0.595
179,0.0,0.46,0.48,0.675
180,0.1,0.44,0.46,0.65
181,0.1,0.34,0.52,0.615
182,0.1,0.44,0.45,0.605
183,0.1,0.36,0.47,0.61
184,0.1,0.4,0.56,0.59
185,0.0,0.28,0.51,0.61
186,0.0,0.38,0.57,0.665
187,0.0,0.34,0.64,0.605
188,0.2,0.38,0.62,0.705
189,0.1,0.38,0.57,0.59
190,0.1,0.38,0.59,0.68
191,0.1,0.32,0.6,0.64
192,0.1,0.34,0.6,0.63
193,0.0,0.32,0.55,0.62
194,0.1,0.36,0.63,0.595
195,0.1,0.34,0.53,0.67
196,0.1,0.28,0.63,0.63
197,0.0,0.32,0.57,0.64
198,0.1,0.26,0.55,0.66
199,0.1,0.26,0.62,0.585
200,0.1,0.26,0.6,0.625
201,0.1,0.34,0.54,0.535
202,0.1,0.36,0.52,0.605
203,0.0,0.4,0.53,0.625
204,0.0,0.36,0.58,0.605
205,0.0,0.38,0.52,0.62
206,0.0,0.32,0.51,0.655
207,0.1,0.4,0.48,0.58
208,0.1,0.34,0.56,0.645
209,0.1,0.42,0.59,0.66
210,0.1,0.44,0.55,0.625
211,0.1,0.42,0.53,0.585
212,0.0,0.34,0.56,0.65
213,0.0,0.4,0.51,0.59
214,0.1,0.32,0.55,0.615
215,0.0,0.26,0.47,0.615
216,0.0,0.34,0.52,0.595
217,0.1,0.4,0.56,0.635
218,0.0,0.32,0.51,0.645
219,0.0,0.32,0.52,0.59
220,0.0,0.4,0.6,0.58
221,0.0,0.34,0.54,0.65
222,0.0,0.4,0.54,0.6
223,0.0,0.4,0.49,0.59
224,0.0,0.4,0.51,0.62
225,0.0,0.36,0.48,0.6
226,0.1,0.4,0.54,0.615
227,0.1,0.38,0.53,0.63
228,0.1,0.4,0.49,0.67
229,0.1,0.48,0.44,0.635
230,0.1,0.36,0.48,0.62
231,0.2,0.36,0.45,0.64
232,0.0,0.42,0.51,0.66
233,0.2,0.38,0.55,0.66
234,0.2,0.42,0.57,0.67
235,0.1,0.48,0.55,0.57
236,0.1,0.46,0.56,0.645
237,0.1,0.46,0.55,0.62
238,0.1,0.4,0.52,0.61
239,0.0,0.32,0.55,0.635
240,0.0,0.34,0.51,0.6
241,0.1,0.38,0.58,0.63
242,0.0,0.34,0.53,0.645
243,0.0,0.34,0.51,0.59
244,0.0,0.38,0.51,0.635
245,0.0,0.36,0.52,0.57
246,0.0,0.42,0.5,0.67
247,0.0,0.34,0.46,0.575
248,0.0,0.38,0.5,0.695
249,0.0,0.36,0.5,0.615
250,0.0,0.3,0.54,0.655
251,0.1,0.28,0.53,0.66
252,0.0,0.38,0.56,0.64
253,0.0,0.28,0.53,0.635
254,0.2,0.42,0.54,0.605
255,0.0,0.36,0.54,0.585
256,0.0,0.32,0.48,0.63
257,0.0,0.36,0.47,0.59
258,0.0,0.36,0.52,0.65
259,0.0,0.4,0.44,0.645
260,0.1,0.38,0.52,0.59
261,0.0,0.36,0.57,0.675
262,0.0,0.3,0.54,0.635
263,0.0,0.42,0.56,0.62
264,0.0,0.4,0.59,0.62
265,0.0,0.4,0.56,0.685
266,0.0,0.36,0.54,0.625
267,0.0,0.32,0.58,0.615
268,0.1,0.38,0.59,0.67
269,0.1,0.36,0.6,0.6
270,0.3,0.28,0.57,0.585
271,0.1,0.34,0.61,0.625
272,0.0,0.38,0.56,0.61
273,0.0,0.42,0.55,0.59
274,0.0,0.34,0.57,0.705
275,0.0,0.36,0.63,0.645
276,0.0,0.32,0.56,0.605
277,0.0,0.3,0.61,0.66
278,0.0,0.36,0.57,0.665
